id;name;duration;amount_material_1;amount_material_2;amount_material_3;amount_material_4;amount_material_5;material1_id
1;navigating payment payment;42212;28999;65877;12717;58152;52239;1
2;Granite Forward;10885;4715;13388;31425;28154;75055;2
3;hard Licensed;31960;21616;21;40287;26280;97552;3
4;Switchable Networked Keyboard;39897;78994;79894;58827;27420;82367;4
5;Avon Administrator Corporate;59184;70347;914;5528;3306;89578;5
6;Operations Arab;14437;73053;37361;2390;95981;12057;6
7;Wooden;97127;26997;75226;58168;8866;46050;7
8;Technician haptic cross-platform;12575;73387;59115;67170;97220;12074;8
9;input;91220;11227;96741;9504;40011;83795;9
10;4th index invoice;70691;55888;16030;68991;27005;42618;10
