id;name;coordinate;state;date;build_type_id;citadel_id
1;Small;"77,8";FAILED;2021-02-28;1;1
2;Interactions Chair California;"30275,376971";APPROVED;2021-02-27;2;2
3;Total SDD ADP;"343636,062";FAILED;2021-02-28;3;3
4;feed;"5,18621";FAILED;2021-02-28;4;4
5;Account calculate;"3277,95";FAILED;2021-02-28;5;5
6;multi-byte indigo pixel;"021094,065814";FAILED;2021-02-28;6;6
7;Pa'anga Liaison;"292452,7392";FAILED;2021-02-28;7;7
8;Switzerland extranet content-based;"197,5086";APPROVED;2021-02-27;8;8
9;Steel;"7251,046642";FAILED;2021-02-28;9;9
10;installation;"004,5518";APPROVED;2021-02-27;10;10
